Repo Name,Default Branch Name,Is Archived,Is Private,Is Empty,Is Fork,Parent Repo Name,Merge Commit Allowed,Squash Merge Allowed,Rebase Merge Allowed,IsAdminEnforced,RequiresCommitSignatures,RestrictsPushes,RequiresApprovingReviews,RequiresStatusChecks,RequiresCodeOwnerReviews,DismissesStaleReviews,RequiresStrictStatusChecks,RequiredApprovingReviewCount,AllowsForcePushes,AllowsDeletions,Branch Protection Pattern
hmrc/affinity-group-frontend-ui-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/afi-acceptance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-access-control,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-access-control-contract-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-access-control-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-all-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-assurance,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-assurance-contract-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-authorisation-api,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-authorisation-api-acceptance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-authorisation-api-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-authorisation-test-support-api,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-authorisation,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-authorisation-contract-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-authorisation-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-management-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-mandate,master,false,false,false,false,,true,true,true,false,true,false,true,true,false,false,true,1,true,true,master
hmrc/agent-client-mandate-acceptance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-mandate-frontend,master,false,false,false,false,,true,true,true,false,true,false,true,true,false,false,true,1,true,true,master
hmrc/agent-client-mandate-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-mandate-stub,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-relationships,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-client-relationships-contract-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-end-to-end-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-epaye-registration,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-epaye-registration-acceptance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-epaye-registration-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-epaye-registration-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-facilities-live-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-facilities-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-facilities-sz-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-fi-relationship,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-frontend,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-helpdesk-frontend,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-invitations-client-side-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-invitations-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-invitations-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-kenshoo-monitoring,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-mapping,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-mapping-contract-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-mapping-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-mapping-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-mapping-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-mtd-end-to-end-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-mtd-identifiers,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-onboarding-live-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-onboarding-prototype,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-overseas-application,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-overseas-frontend,master,false,false,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
hmrc/agent-overseas-performance-tests,master,false,true,false,false,,true,true,true,false,true,false,false,false,false,false,true,0,true,true,master
